kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
MSK2	AGC	10	94	0	15	107	5426	5.39471067806721	2.4315455890904443	0.00002515565020219328	0.0005444401436617546	4.599364452912859	3.264049860088792	1.6903426791277258	0.7573157502722005	0.9999999999686168	1.000000000015329	1.3629563330611391e-11	6.657331098046247e-12	upregulated set	5.39471067806721	2.4315455890904443	0.00002515565020219328	0.0005444401436617546	4.599364452912859	3.264049860088792
GRK1	AGC	10	94	2	15	643	5426	0.8977201283875451	-0.15566235183635618	0.43616331057106916	0.5529601803474224	0.3603508694466429	0.2573061418924756	1.1251425609123897	0.17010780934540012	0.5456965219829906	1.000000000015329	0.26304881420001086	6.657331098046247e-12	downregulated set	0.8887762624401033	-0.17010780934540012	0.5456965219829906	1.000000000015329	0.26304881420001086	6.657331098046247e-12
GRK3	AGC	1	94	2	15	580	5426	0.09952311078503301	-3.328824609410706	0.00032187866814034887	0.003751124478712527	3.492307804351712	2.425838523820225	1.2473563218390804	0.31887364665841306	0.4877724832441747	1.000000000015329	0.3117827032274692	6.657331098046247e-12	downregulated set	0.8016955399926281	-0.31887364665841306	0.4877724832441747	1.000000000015329	0.3117827032274692	6.657331098046247e-12
STK33	CAMK	1	94	0	15	110	5426	0.5247582205029013	-0.930275232920431	0.43179716253794537	0.5509748516159008	0.3647202158650622	0.2588682233872233	1.6442424242424243	0.717423023148688	0.9999999999744907	1.000000000015329	1.1078531450518758e-11	6.657331098046247e-12	downregulated set	0.6081828234426834	-0.717423023148688	0.9999999999744907	1.000000000015329	1.1078531450518758e-11	6.657331098046247e-12
GRK2	AGC	2	94	1	15	572	5426	0.2018300848088082	-2.3087868561741605	0.002194913827468527	0.015834735469594373	2.65858252553099	1.8003891874265854	0.6324009324009323	-0.6610886001050421	0.5208102373932803	1.000000000015329	0.2833204875740557	6.657331098046247e-12	downregulated set	1.581275340950977	0.6610886001050421	0.5208102373932803	1.000000000015329	0.2833204875740557	6.657331098046247e-12
GRK5	AGC	5	94	1	15	576	5426	0.5010712174940899	-0.9969124259507212	0.059319245481323044	0.19750207876666215	1.2268043816723455	0.7044283289380808	0.6280092592592593	-0.6711422647689647	0.5169867022789194	1.000000000015329	0.28652062750791296	6.657331098046247e-12	downregulated set	1.5923332104681163	0.6711422647689647	0.5169867022789194	1.000000000015329	0.28652062750791296	6.657331098046247e-12
IRAK1	TKL	4	94	0	15	200	5426	1.154468085106383	0.20722829082950422	0.4604825845940314	0.5697219561883428	0.33678679013105034	0.24433704319436816	0.9043333333333333	-0.14507345310137715	0.569785119414048	1.000000000015329	0.24428889704240755	6.657331098046247e-12	upregulated set	1.154468085106383	0.20722829082950422	0.4604825845940314	0.5697219561883428	0.33678679013105034	0.24433704319436816
IRE2	Other	3	94	0	15	124	5426	1.3965339739190117	0.4818506709385097	0.36808639579091806	0.5187450136030148	0.4340502334691595	0.28504606488245976	1.4586021505376345	0.5445864262864725	0.9999999999626529	1.000000000015329	1.6219650473115876e-11	6.657331098046247e-12	downregulated set	0.6855879100626612	-0.5445864262864725	0.9999999999626529	1.000000000015329	1.6219650473115876e-11	6.657331098046247e-12
GRK4	AGC	2	94	1	15	572	5426	0.2018300848088082	-2.3087868561741605	0.002194913827468527	0.015834735469594373	2.65858252553099	1.8003891874265854	0.6324009324009323	-0.6610886001050421	0.5208102373932803	1.000000000015329	0.2833204875740557	6.657331098046247e-12	downregulated set	1.581275340950977	0.6610886001050421	0.5208102373932803	1.000000000015329	0.2833204875740557	6.657331098046247e-12
GRK7	AGC	2	94	3	15	618	5426	0.1868071335123597	-2.420378547300146	0.0010595532581461774	0.01015672624222857	2.97487720871469	1.9932462530803257	1.7559870550161814	0.8122822094901293	0.24065266746563677	1.000000000015329	0.6186093201109265	6.657331098046247e-12	downregulated set	0.5694802801326944	-0.8122822094901293	0.24065266746563677	1.000000000015329	0.6186093201109265	6.657331098046247e-12
GRK6	AGC	10	94	2	15	748	5426	0.7717032654454431	-0.3738818843960457	0.23861377447311394	0.4179189229211186	0.6223044893957926	0.37890796402228305	0.9672014260249554	-0.04811172321428914	0.6574762222788739	1.000000000015329	0.18211994887593122	6.657331098046247e-12	downregulated set	1.0339107998525618	0.04811172321428914	0.6574762222788739	1.000000000015329	0.18211994887593122	6.657331098046247e-12
IRE1	Other	0	94	0	15	104	5426	0.2775163666121113	-1.8493552375368634	0.16475570546246646	0.3527954447113263	0.7831595369284192	0.4524770311068464	1.7391025641025641	0.7983430185322555	0.9999999999821328	1.000000000015329	7.759605608810329e-12	6.657331098046247e-12	downregulated set	0.5750092148912642	-0.7983430185322555	0.9999999999821328	1.000000000015329	7.759605608810329e-12	6.657331098046247e-12
PRPK	Other	5	94	0	15	446	5426	0.647123366091022	-0.6278873244287134	0.20830760326933365	0.39203232168079566	0.6812948779271826	0.4066781254567272	0.4055306427503737	-1.302117163246957	0.2767590149514012	1.000000000015329	0.5578982238191297	6.657331098046247e-12	upregulated set	0.647123366091022	-0.6278873244287134	0.20830760326933365	0.39203232168079566	0.6812948779271826	0.4066781254567272
RIPK1	TKL	1	94	0	15	148	5426	0.3900230017251294	-1.358368885024721	0.27289018111308405	0.4576286992270054	0.5640120904390151	0.3394867474906202	1.2220720720720721	0.2893293710443979	0.9999999999785031	1.000000000015329	9.335991718416013e-12	6.657331098046247e-12	downregulated set	0.8182823442683376	-0.2893293710443979	0.9999999999785031	1.000000000015329	9.335991718416013e-12	6.657331098046247e-12
MARK4	CAMK	10	94	2	15	403	5426	1.4323425373528325	0.5183765469636237	0.16307824665238776	0.3527954447113263	0.7876039665434419	0.4524770311068464	1.79520264681555	0.8441467081453802	0.3085535428101576	1.000000000015329	0.5106694626540069	6.657331098046247e-12	downregulated set	0.5570401769259123	-0.8441467081453802	0.3085535428101576	1.000000000015329	0.5106694626540069	6.657331098046247e-12
MARK3	CAMK	7	94	1	15	393	5426	1.0281522386443613	0.04005390040322626	0.5275393826706491	0.5947830238357652	0.2777451132092179	0.22564143550930393	0.9204410517387617	-0.11960276558525887	0.703028076777684	1.000000000015329	0.15302733024884274	6.657331098046247e-12	upregulated set	1.0281522386443613	0.04005390040322626	0.5275393826706491	0.5947830238357652	0.2777451132092179	0.22564143550930393
MARK2	CAMK	9	94	2	15	456	5426	1.1392777155655096	0.18811946788179953	0.39526087310432717	0.5347284412413053	0.4031161743641023	0.2718667159451717	1.5865497076023392	0.6658927225086059	0.364000621361228	1.000000000015329	0.43889787499511357	6.657331098046247e-12	downregulated set	0.6302985624769628	-0.6658927225086059	0.364000621361228	1.000000000015329	0.43889787499511357	6.657331098046247e-12
MARK1	CAMK	9	94	2	15	392	5426	1.3252822405557967	0.40629963793133284	0.2416911179632781	0.41847090710213297	0.6167393094202963	0.37833472960428566	1.8455782312925169	0.8840728925581394	0.2969719231991251	1.000000000015329	0.5272846085147231	6.657331098046247e-12	downregulated set	0.5418356063398453	-0.8840728925581394	0.2969719231991251	1.000000000015329	0.5272846085147231	6.657331098046247e-12
NEK8	Other	1	94	0	15	70	5426	0.8246200607902736	-0.2781985363407376	0.658262601428006	0.6715608358002888	0.18160081824048407	0.17291463905539148	2.583809523809524	1.3694997197283811	0.9999999999988102	1.000000000015329	5.167348729528864e-13	6.657331098046247e-12	downregulated set	0.3870254330998894	-1.3694997197283811	0.9999999999988102	1.000000000015329	5.167348729528864e-13	6.657331098046247e-12
NEK9	Other	2	94	0	15	140	5426	0.8246200607902736	-0.2781985363407376	0.5626792464396996	0.6110817622624694	0.24973910283593892	0.21390067760723153	1.291904761904762	0.36949971972838114	0.9999999999899049	1.000000000015329	4.384266610333322e-12	6.657331098046247e-12	downregulated set	0.7740508661997788	-0.36949971972838114	0.9999999999899049	1.000000000015329	4.384266610333322e-12	6.657331098046247e-12
