kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
DCAMKL2	CAMK	1	52	1	11	84	5472	1.252747252747253	0.32509537396604565	0.5552041290108723	0.6829610930477605	0.25554731272616693	0.16560403651751973	5.922077922077922	2.5661034734698407	0.15803838829270847	1.0000000000301261	0.8012374079905425	1.30836093350113e-11	downregulated set	0.16885964912280702	-2.5661034734698407	0.15803838829270847	1.0000000000301261	0.8012374079905425	1.30836093350113e-11
CHAK1	Alpha	1	52	0	11	163	5472	0.6455875412930628	-0.6313153574862717	0.5397559608777829	0.6730290376377293	0.26780255276949155	0.17196619786549872	1.5259341885108757	0.6096927420175231	0.999999999991667	1.0000000000301261	3.618976332869582e-12	1.30836093350113e-11	downregulated set	0.6553362573099415	-0.6096927420175231	0.999999999991667	1.0000000000301261	3.618976332869582e-12	1.30836093350113e-11
SLK	STE	1	52	0	11	113	5472	0.9312457454050375	-0.10276616567038198	0.7085182922717765	0.7476147929469822	0.14964893281222655	0.12632211388538755	2.2011263073209975	1.1382419338334129	1.0000000000116147	1.0000000000301261	5.044204112017641e-12	1.30836093350113e-11	downregulated set	0.45431286549707606	-1.1382419338334129	1.0000000000116147	1.0000000000301261	5.044204112017641e-12	1.30836093350113e-11
PIM1	CAMK	3	52	0	11	155	5472	2.036724565756824	1.0262508921917244	0.1854355357336279	0.5720489322846759	0.7318070366737754	0.24256682066098964	1.604692082111437	0.6822964909743631	1.0000000000018736	1.0000000000301261	8.136995162769014e-13	1.30836093350113e-11	upregulated set	2.036724565756824	1.0262508921917244	0.1854355357336279	0.5720489322846759	0.7318070366737754	0.24256682066098964
NEK1	Other	0	52	0	11	159	5472	0.3309143686502177	-1.5954701585395494	0.21743312658185726	0.5767187058158775	0.6626742891562483	0.239035962060811	1.5643224699828473	0.6455379409642452	0.9999999999804322	1.0000000000301261	8.498184015457316e-12	1.30836093350113e-11	downregulated set	0.6392543859649124	-0.6455379409642452	0.9999999999804322	1.0000000000301261	8.498184015457316e-12	1.30836093350113e-11
NEK2	Other	2	52	0	11	158	5472	1.332035053554041	0.41363204856770297	0.44748074284759565	0.6395201235105361	0.34922564963293823	0.194145785208659	1.5742232451093212	0.6546401480714978	0.9999999999822702	1.0000000000301261	7.699961955002946e-12	1.30836093350113e-11	downregulated set	0.6352339181286549	-0.6546401480714978	0.9999999999822702	1.0000000000301261	7.699961955002946e-12	1.30836093350113e-11
PIM3	CAMK	6	52	0	11	198	5472	3.1888111888111887	1.6730186773863525	0.011642083957781007	0.16041714375497362	1.9339692730918934	0.7947492205884914	1.256198347107438	0.32906427616899103	0.9999999999937681	1.0000000000301261	2.706481467636889e-12	1.30836093350113e-11	upregulated set	3.1888111888111887	1.6730186773863525	0.011642083957781007	0.16041714375497362	1.9339692730918934	0.7947492205884914
NEK3	Other	3	52	0	11	141	5472	2.2389525368248773	1.1628239450671682	0.15305837220279092	0.5410779313792312	0.8151429097646009	0.266740179014516	1.7640232108317215	0.8188695438498071	0.9999999999848872	1.0000000000301261	6.5634056029045786e-12	1.30836093350113e-11	upregulated set	2.2389525368248773	1.1628239450671682	0.15305837220279092	0.5410779313792312	0.8151429097646009	0.266740179014516
P70S6KB	AGC	5	52	0	11	133	5472	3.956043956043956	1.9840584561309784	0.009170218884703856	0.14624085905606676	2.0376202979957863	0.8349312704463102	1.87012987012987	0.9031384607474109	1.0000000000047067	1.0000000000301261	2.0440849308481923e-12	1.30836093350113e-11	upregulated set	3.956043956043956	1.9840584561309784	0.009170218884703856	0.14624085905606676	2.0376202979957863	0.8349312704463102
PIM2	CAMK	6	52	0	11	123	5472	5.133208255159475	2.359860792126722	0.0012182136667272085	0.07406416038778678	2.9142765326043243	1.1303918960847126	2.022172949002217	1.0159063909093606	1.0000000000221565	1.0000000000301261	9.622445192148721e-12	1.30836093350113e-11	upregulated set	5.133208255159475	2.359860792126722	0.0012182136667272085	0.07406416038778678	2.9142765326043243	1.1303918960847126
