pathway	pval	padj	log2err	ES	NES	size	leadingEdge	timepoint	confidence_levels
E2F1_1	0.12746386333771353	0.2339327648003955	0.13959967345192228	0.5091396812591218	1.5511996397864285	297	KLF10;DUSP1;JUN;CDKN1A;DUSP4;BMI1;HIC1;SIAH1;NPAT;BHLHE40;ZNF292;MYC;CUL5;EGFR;MAP3K14;ZNF654;MCM6;SMARCA5;AK3;PLEKHF2;MAP1LC3B;BBC3;ACTR2;FBXO43;ERCC8;H4C8;CD2AP;MCPH1;HAT1;MAPK8;RASGEF1B;APAF1;RB1;ABCA1;DRAM1;RASSF8;CHKA;RTN4;ACSL1;ASF1B;STAM;HSPD1;DYNC1I2;ZMYM2;IFT80;SLC35G1;CDC25A;E2F6;PCSK6;HIVEP1;IER3;BNIP3	1	A
WT1_1	0.12835249042145594	0.2339327648003955	0.17093233537005617	0.5879067188241139	1.374149287308549	16	CDKN1A;ODC1;WTAP	1	A
GLI2_1	0.13184584178498987	0.23648539875720406	0.1737478389995708	-0.6265825250422834	-1.3495566658248142	9	WNT2B;COL5A2	1	A
FOS_1	0.1369150779896014	0.24174068457538997	0.1563124030731863	0.4769283617203021	1.3248649929807945	65	CDKN1A;DDIT3;BCL2L11;SP3;FGF2;HSPA1A;NAT1;SMAD4;NR3C1	1	A
SP1_-1	0.14090019569471623	0.24494957097696823	0.16440575583821013	0.5928505432699288	1.3612448533946582	14	AHR;SOD2;EGFR;CDK6;ITGAV	1	A
TP53_-1	0.1453900709219858	0.24521011961469247	0.15315880868307333	0.4730295721446383	1.3009919831624575	55	FGF2;CHEK1;MYC;GADD45A;CHUK;SLC2A1;HNF4A;STAT3;PTEN;CTNNB1;WRN;RB1;SSTR2;E2F1;HSP90AB1;RASSF1;VEGFA;TERT;TP63;BCL2	1	A
VDR_1	0.14481409001956946	0.24521011961469247	0.1619789488834018	0.5899756505951433	1.3546438088277952	14	CDKN1A;BHLHE40;TRPV6;DDIT4	1	A
YY1_-1	0.14962121212121213	0.24863524955436722	0.1563124030731863	0.4995354227649339	1.2761976464444627	27	LDLR;PBDC1;CXCR4	1	A
GATA3_1	0.16064981949458484	0.263093182650552	0.14641623786055022	0.4603955910063413	1.2613201176274111	58	RBMS1;MYC;EGFR;PDE3A;EPHA7;SEPTIN7;ATP2B1;CDX2;FBXO11;ZNF217;ESR1;TGFBR3;ZNF507;UST;FNDC3B;MDM2;CD8B;KMT2E;NFKB1;ATXN10;NCOA3;SST;ZEB1;SVIL;CDH1;TLR5;NRCAM	1	A
SOX9_1	0.17177914110429449	0.2773006134969325	0.15114876138548375	0.6582236759052299	1.3292489833115597	8	CDKN1A;CLDN7	1	A
FOXA1_1	0.18267419962335216	0.2907349937667436	0.13959967345192228	0.53737976265608145	1.2777698226303507	17	HSPA1A;MYC;SFTPB;ERBB3;ESR1;FOXC1;G6PC;CCNG2;APOB	1	A
RXRA_1	0.21095334685598377	0.3287671232876712	0.13427345288320233	-0.5859836048043667	-1.2621132066752425	9	SREBF1;HSD17B2;CPT1B	1	A
SP3_1	0.21238938053097345	0.3287671232876712	0.12384217120104962	0.4271892044204333	1.1726890374108592	54	CDKN1A;RORA;MYC;CD2AP;MSH6;LCAT;ITGAV;MUC2;CD83;TPMT;CTSL;MMP2;VEGFA;OPRM1	1	A
CTCF_1	0.21683673469387754	0.33111555432984	0.15016980212840597	-0.32390318186242933	-1.1340137851400331	79	B4GALNT1;GALT;ABCA2;DMPK;ATN1;IPO13;CELSR3;HS1BP3	1	A
ATF1_1	0.2278719397363465	0.34332705586942874	0.12325722638133735	0.5051036781584606	1.2010244562624672	17	MAP1LC3B;CYP11B1;CGA;UGT8;LDHA;TOP2A;BCL2	1	A
STAT5B_1	0.2475633528265107	0.36808761670257517	0.11988784511542344	0.5160467470166377	1.169107027664524	13	IL6ST;BCL6;PIM1;ESR1	1	A
CEBPA_1	0.28278041074249605	0.4149894339467799	0.09787732774245612	0.3503000388927326	1.0165486516827922	109	LDLR;CDKN1A;PER2;GADD45A;ID1;AGXT;HNF4A;STAT3;SP1;THOC1;RB1;KCNMA1;HMGB1;ACE	1	A
KMT2A_1	0.3264033264033264	0.4728663574817421	0.10592029273625286	0.5792250811110118	1.1361970429301418	7	HOXA13;FOXC1;FOXC2	1	A
REL_1	0.33398821218074654	0.4777299743851185	0.10099058745592349	0.5265868087827725	1.103378044302467	9	IER3;F3;IL1B;IL2RA;TNFAIP3;CSRP1;NFKBIA	1	A
